"","id","Nominated","NominationSum","Strength","Betweenness","Eigenvector","Age","Sex","Fellowship","StartPractice35","Race","Q1","Q2","Q3","Q4","Q5"
"1",1,0,15,0.253483100550752,0.382593837460796,0.844752741834821,8,1,0,0,"Asian",1,1,1,1,1
"2",2,1,10,-0.834472698787755,0.119334428494543,-1.63005504172068,15,1,0,0,"White",0,1,1,1,1
"3",3,0,7,-0.7498513158373,0.481116495625633,2.08387249240403,11,1,0,0,"White",0,0,1,1,1
"4",4,0,10,-1.19955073892031,0.283916145211352,0.603788517821692,6,1,1,0,"White",1,1,1,1,1
"5",5,0,14,1.8090502170971,-0.589901350233254,-0.556477583221606,17,1,1,0,"Asian",1,1,1,1,1
"6",6,0,17,-0.302156056473854,0.48928837002036,-1.0731780127773,4,1,0,1,"White",1,1,1,1,0
"7",7,1,11,1.85077565158364,-2.36573365863816,0.813442484865088,19,1,0,1,"White",0,1,1,0,1
"8",8,1,8,-0.603321749837205,-1.84211567614052,-0.946661563035264,8,1,1,0,"White",1,1,1,1,1
"9",9,0,9,-0.756701906592826,-0.301860295145243,-0.209914657994409,14,1,0,1,"Asian",0,1,1,1,1
"10",10,1,11,-0.49892681835843,-0.19750231025149,-0.625660007389374,13,0,0,1,"White",1,1,1,0,1
"11",11,1,9,-1.50197423958031,0.0484271500775704,-0.431681906144685,7,1,0,0,"Others",0,0,1,1,1
"12",12,0,12,-1.66607317519418,-0.108518579085036,0.964237401132663,14,1,0,1,"White",1,1,1,0,1
"13",13,1,9,-1.05121193599762,1.81878565426286,-2.22129277219508,11,1,0,1,"White",1,1,1,0,1
"14",14,1,14,-0.283424233595138,1.14454061715361,0.423233624819266,8,1,0,0,"White",1,0,1,1,1
"15",15,0,12,0.0438366694714227,0.387808996852315,-0.0362088077546579,14,0,0,1,"Asian",0,0,1,1,1
"16",16,0,11,-1.04238382326845,-0.156622911306661,-1.21142991491967,5,1,0,0,"Asian",0,1,1,1,1
"17",17,1,6,1.26890779550315,-0.517959810476475,-0.737091288156362,6,0,0,0,"White",1,0,1,0,1
"18",18,1,8,-0.528443330522345,-0.315453400714606,-0.0381327315615291,17,1,1,0,"Others",1,0,1,0,1
"19",19,0,8,-0.79470793613635,-1.16830294445913,-0.36940691725937,13,1,0,0,"White",1,1,1,1,1
"20",20,1,8,1.27799062420616,-0.170995232943275,0.457418651050462,14,0,0,0,"White",1,0,1,0,1
"21",21,0,9,0.0933628708232034,-0.151822674544067,0.683284202616079,7,1,1,0,"White",1,0,1,0,0
"22",22,0,8,-0.840336933086011,-0.0374386094901673,0.799751420398397,9,1,0,0,"Asian",1,0,1,1,1
"23",23,0,8,0.659515604439107,-0.633237985473107,1.20335730579761,14,1,1,1,"White",1,1,1,1,0
"24",24,0,14,-0.615187477682025,-1.73435116491424,0.560060155526626,7,1,0,0,"Asian",1,1,0,1,1
"25",25,0,10,-0.864488519612054,-1.22533355111898,-0.153083488334837,12,0,0,0,"Others",1,0,1,1,1
"26",26,0,13,0.708108669337568,-1.20356387327225,0.412480632136579,12,1,1,0,"Asian",0,0,1,1,1
"27",27,0,10,0.155463026988264,-0.535149490320778,-2.67117452886005,8,1,0,0,"White",0,1,1,0,1
"28",28,0,13,-0.496721448003348,1.39432273017713,-1.49299234420525,3,0,0,1,"Asian",1,1,1,0,1
"29",29,0,9,0.822733274957814,1.09318966355536,-0.114042420954426,11,1,0,0,"Asian",0,0,1,1,1
"30",30,0,10,-0.339626529705552,1.1758821028044,0.720542593176039,9,0,0,0,"Asian",1,1,0,1,1
"31",31,0,13,-1.30783032965425,1.1929996141086,-0.554816605595808,12,0,0,0,"Others",1,1,1,1,1
"32",32,0,6,-1.85529897140017,0.0116524854837162,-0.633971952034023,12,1,0,0,"Asian",0,1,0,1,1
"33",33,0,11,0.127182486946923,0.409927118648928,0.356566574328323,9,1,0,0,"Others",1,0,1,1,1
"34",34,0,12,-0.962992836157377,-0.703772197638469,-0.0924025373274764,17,1,0,0,"Asian",1,0,1,1,1
"35",35,0,10,0.766039235136805,0.582871179749473,0.131266675744332,5,0,0,0,"Asian",0,1,1,1,1
"36",36,0,13,0.544988403415854,-0.364261532063333,-1.37115209770827,11,1,0,0,"Asian",0,1,1,1,1
"37",37,0,10,-0.292024851002566,0.61629327361723,0.547927195200386,6,1,0,0,"Asian",1,1,1,1,1
"38",38,0,7,-0.417896037357602,-0.877321837680827,-0.128489722630941,18,1,0,0,"White",1,0,1,1,1
"39",39,1,7,-1.42109063288084,1.19700118189083,0.072990873432016,7,0,0,1,"Others",1,1,1,0,1
"40",40,0,8,-0.566856184937365,0.468017730208105,0.958783108614962,14,0,0,0,"Asian",1,1,0,1,1
"41",41,0,10,0.713800780817213,-0.0436241997976454,2.52990886540771,9,1,1,0,"White",1,1,1,1,1
"42",42,0,6,-1.31569946924034,-0.975036364054293,-0.493048526857604,9,1,0,0,"White",1,0,1,1,1
"43",43,0,10,0.0110854748600118,-1.2783043734754,0.409890429332803,14,0,0,0,"White",1,1,1,1,1
"44",44,0,8,-0.567319673888919,-0.197455594446271,1.81216126153615,15,1,0,1,"Asian",1,0,0,1,1
"45",45,0,8,0.362176465218043,-2.00317399449818,-1.45597988531547,11,1,1,0,"Asian",0,1,0,1,1
"46",46,0,8,-0.749857898775278,-0.338478740276794,0.648211034983474,8,1,0,0,"Others",1,0,1,1,1
"47",47,0,9,-0.290408597541597,0.0474648151635724,0.386271362620688,11,1,0,0,"Asian",1,0,1,1,1
"48",48,0,10,-0.711190684300228,0.391109339675444,-0.390941027337786,10,1,0,0,"Asian",1,0,1,0,1
"49",49,0,13,-1.78233679030549,-0.275386878991326,1.21070478878607,4,1,0,0,"White",1,1,1,0,1
"50",50,0,9,-0.0304559657741501,0.828184951340621,-0.919249888032195,14,0,1,0,"White",1,1,1,1,1
"51",51,0,8,1.90114203491516,0.553448558185951,1.23932720804269,9,1,0,0,"White",1,1,1,0,1
"52",52,0,8,0.580753582032398,-0.538887999339564,-0.278276225877296,9,1,0,0,"Asian",1,0,1,1,1
"53",53,0,14,1.50763798545482,0.745845554456958,-0.319689994429938,10,0,0,0,"Asian",1,1,1,0,1
"54",54,0,10,0.493659248832257,-0.0634027612822365,-1.95390758364688,11,1,0,0,"White",1,1,0,1,1
"55",55,0,5,0.236146231299839,0.189062723034871,-2.87239882976494,8,1,0,0,"White",1,1,1,1,1
"56",56,0,8,-0.196650226465035,1.95803233905229,2.37786781168531,13,1,0,0,"White",1,1,1,1,1
"57",57,0,13,0.850081419079143,-0.390379526695134,-1.22756821881542,7,1,0,0,"White",1,1,1,1,1
"58",58,1,10,0.118757152464733,0.0323435168118743,1.37975477745144,9,0,0,0,"Asian",1,1,1,0,1
"59",59,0,8,2.01569147841529,0.856455335930718,-0.127476009439662,10,1,0,0,"White",1,0,0,1,1
"60",60,0,13,-0.345106529591937,0.53584672020265,-0.206695986845391,14,0,0,0,"White",0,1,1,1,1
"61",61,0,6,-0.565303117275625,1.2305432248898,-0.72727044952476,23,1,0,1,"White",1,1,1,1,1
"62",62,0,6,-1.06810000948431,-2.15102920919505,-1.52807185957505,11,1,0,0,"Asian",0,1,1,1,1
"63",63,0,14,-0.822904886132773,-0.141106794124175,0.919595304368664,11,0,0,0,"White",1,0,1,1,1
"64",64,0,17,1.81626750110769,1.20351432109638,-0.287344268412007,7,1,0,0,"Asian",0,1,1,1,1
"65",65,0,11,-0.48192731633516,0.137101225914333,-1.04124210966592,19,1,0,0,"White",0,0,1,1,1
